papia,Papia Ciuitas
cliteron fl.,Fluuius Cliteron
saracena c.,Ciuitas Saracena
danaper fl.,Fluuius Danaper
concitus fl.,Concitus Fluuius
amsidus fl.,Fluuius Amsidus
atrax fl.,Fluuius Atrax
capharica i.,Capharica Insula
trogodite,trocodite
bruncena r.,Bruncena regio
cesarea in mauritania,Cesarea Ciuitas
hispania inferior,Hispania Inferior
pinesus fl.,Fluuius Pinesus
arcandes superior,Arcandes Superior
carmelus m.,Mons Carmelus
mauritania cesariensis,Mauritania Cesariensis
timavus m.,Mons Timauus
thebe in boeotia,Thelea Ciuitas
suffibus c.,Suffibus Ciuitas
sanctus michaelis m.,Mons Michaelis
malva fl.,Fluuius Malua
cleee m.,Mons Cleee
ethiopum terra,Terra Ethiopie
wulturnus v.,Wulturnus
babel turris,Turris Babel
grana c.,Grana Ciuitas
larissa,Laris Ciuitas
pentapolis,Pentapolis regio
occea,Ocea Ciuitas
puteus juramenti,Puteus Iuramenti
herculis gades,Gades Herculis
zeugis c.,Zeugis Ciuitas
delphi,Delos
damascus,Damascus Ciuitas
wormanciansis,Wormanciansis
paropanicades m.,Montes Paropanicades
tiberis fl.,Fluuius Tiberis
tarsus,Tharsus Ciuitas
tiberis ostia,Ostia Tiberis
timavus fl.,Timauus Fluuius
germania inferior,Germania Inferior
mosella,Fluuius Mosella
etna m.,Mons Ethna
indus fl.,Fluuius Yndus
susa c.,Susa Ciuitas
alberstad c.,Alberstad Ciuitas
mad fl.,Fluuius et Lacus Mad
mad lacus,Fluuius et Lacus Mad
longobardia,Longobardia
triton fl.,Lacus et Fluuius Triton
triton lacus,Lacus et Fluuius Triton
phori r.,Rengnum Phori et Abisaris
abisaris r.,Rengnum Phori et Abisaris
ylis fl., Fluuius Ylis
danubius fons,fons Danubii
renus fl.,Reno Fluuio
dacia,Dacia
rinocorua c.,Rinocerura Ciuitas et Fluuius
rinocorua fl.,Rinocerura Ciuitas et Fluuius
trogodites fons,fons Trocoditas
sogdiani g.,Sogdiani et Dache gentes
daci g.,Sogdiani et Dache gentes
blemmye,Isti os et oculos habent in humeris.
infernalis fl.,fluuius infernali[s]
getuli g.,"Getuli, Natabres, et Garamantes"
nathabres,"Getuli, Natabres, et Garamantes"
garamantes,"Getuli, Natabres, et Garamantes"
eulercus fl.,Eulercus Fluuius
tigris fl.,Tigris Fluuius et Lacus
tigris lacus,Tigris Fluuius et Lacus
media r.,"Media, Parthia Persida"
parthia r.,"Media, Parthia Persida"
persia,"Media, Parthia Persida"
arnon fl.,Fluuius Arnon et ciuitas
arnon c.,Fluuius Arnon et ciuitas
